Designator,Mid X,Mid Y,Rotation,Layer
C1,153.69,-76.2,180.0,top
C10,115.51,-53.34,0.0,top
C11,115.51,-60.96,0.0,top
C12,115.51,-68.58,0.0,top
C13,115.51,-76.2,0.0,top
C14,156.17,-55.88,180.0,top
C15,167.6,-55.88,180.0,top
C16,110.52,-91.0,0.0,top
C17,119.83,-91.0,180.0,top
C2,133.31,-50.8,0.0,top
C3,182.84,-55.88,180.0,top
C4,161.25,-50.8,180.0,top
C5,182.84,-60.96,180.0,top
C6,144.74,-78.74,180.0,top
C7,144.74,-50.8,0.0,top
C8,182.84,-50.8,180.0,top
C9,153.65,-86.36,180.0,top
J1,99.575,-70.155,0.0,top
J2,193.04,-84.836,180.0,top
J3,193.04,-68.58,0.0,top
Q1,106.68,-53.34,90.0,top
Q10,124.46,-83.82,90.0,top
Q11,162.56,-63.5,270.0,top
Q12,170.18,-63.5,270.0,top
Q13,153.67,-63.5,270.0,top
Q14,133.35,-66.04,180.0,top
Q15,142.24,-85.09,270.0,top
Q16,184.15,-90.17,0.0,top
Q17,162.035,-81.485,270.0,top
Q18,133.35,-59.69,180.0,top
Q2,106.68,-60.96,90.0,top
Q3,106.68,-68.58,90.0,top
Q4,106.68,-76.2,90.0,top
Q5,106.68,-83.82,90.0,top
Q6,124.46,-53.34,90.0,top
Q7,124.46,-60.96,90.0,top
Q8,124.46,-68.58,90.0,top
Q9,124.46,-76.2,90.0,top
R1,172.72,-72.39,180.0,top
R10,144.78,-55.88,0.0,top
R11,133.35,-82.55,180.0,top
R12,133.35,-93.98,180.0,top
R13,133.35,-90.17,180.0,top
R14,144.78,-93.98,180.0,top
R15,133.35,-74.93,180.0,top
R16,133.35,-78.74,0.0,top
R17,133.35,-71.12,0.0,top
R18,144.78,-74.93,0.0,top
R19,184.15,-64.77,180.0,top
R2,133.35,-54.61,0.0,top
R20,184.15,-68.58,180.0,top
R21,184.15,-72.39,180.0,top
R22,133.35,-86.36,0.0,top
R23,172.72,-76.2,0.0,top
R24,184.15,-76.2,180.0,top
R25,184.15,-83.82,180.0,top
R26,184.15,-80.01,0.0,top
R27,144.78,-90.17,0.0,top
R28,161.29,-91.44,0.0,top
R3,144.78,-67.31,180.0,top
R4,144.78,-71.12,180.0,top
R5,176.53,-59.69,270.0,top
R6,172.72,-68.58,0.0,top
R7,144.78,-63.5,0.0,top
R8,161.29,-68.58,180.0,top
R9,144.78,-59.69,0.0,top
RV1,172.72,-83.82,180.0,top
RV2,172.72,-92.71,180.0,top
U1,116.08,-83.54,90.0,top
